title,epi,page,tb,words
EJ03,001,00006,6,"['sV', 'INCLUDES', 'AN', 'EXCLUSIVE', 'SHORT', 'THAT', 'AINE', 'BEEN', 'Looking', 'FORWARD', 'To', 'SEEING']"
EJ06,008,00005,12,"['NOW', '|', 'THAT', ""IT'S"", 'CRACKED', 'OPEN', 'MAYBE...)']"
EJ01,008,00008,1,"['Z', 'CANT', 'STANO', 'BY', 'ANP', 'WATCH', 'SOME-', 'FOLK', 'e']"
EJ05,006,00001,9,"['HEY', 'HEY', 'WAKU-WAKU', 'WHAT\xe2\x80\x98RE', 'WE', 'BUILDING', 'TODAY2']"
EJ06,005,00010,22,"['you', 'CAN', 'RELY', 'ONUSA', 'BIT', 'MORE', 'you', 'KNOW']"
EJ07,008,00008,6,"['you', ""WON'T"", 'GET', 'AWAy']"
EJ07,005,00003,2,[]
EJ04,009,00005,1,"['WELL', 'IT', '/S', 'AN', 'EMPEROR', 'PENGUIN']"
EJ08,001,00009,15,"['SAKI', 'YOUR', 'MAHJONG', ""ISN'T"", 'MUCH', 'TO', 'LOOK', 'AT']"
EJ08,003,00003,9,"['', 'SCORE', '%', 'ADJUSTING', 'AND', 'THE', 'SKILL', 'TO', 'WIN', 'ARE', 'TWO', 'DIFFERENT', '', 'TWINGS', '|']"
EJ01,005,00007,19,['THAT']
EJ07,001,00009,3,"['ANP', 'you', 'HUMANS', 'ARE', 'THE', 'DISEASE-', 'CAUSING', 'GERMS', 'KILLING', 'IT']"
EJ08,005,00002,2,"['WELL', 'YyuUuKI-', 'CHAN', 'WAS']"
EJ02,003,00004,3,"['But', 'he\xe2\x80\x99s', 'playing', 'a', 'horrible', 'game']"
EJ08,009,00004,1,"['_', 'I', 'WANT', 'TO', 'GET', 'A', 'HANDLE', 'ON', 'YOUR', 'INDIVIDUAL', 'PROBLEMS', 'BY', 'THE', 'TIME', 'WE', 'START', '|', 'CAMP', 'i']"
EJ04,005,00003,0,[]
EJ09,008,00005,8,"[""HMM..-IT'S"", 'WARM', 'OR', 'COLD', 'ANP', 'ITS', 'NOT', 'ELECTRICAL']"
EJ09,002,00002,10,['THING']
EJ09,003,00007,13,"['OUT', 'OF', 'THE', 'QUESTION']"
EJ09,010,00007,7,"['SOME-', ""THING'S"", 'MISSING']"
EJ09,006,00009,0,[]
EJ09,005,00005,25,[]
EJ01,007,00001,9,"['IS', 'THERE', 'A', 'REASON', 'FOR', 'THAT', 'uF']"
EJ10,006,00008,5,"['URP', 'UGH']"
EJ02,006,00006,6,"['ARE', 'YOU', 'GOING', 'TO', 'BECOME', '\xe2\x80\x94A', 'PRO']"
EJ10,002,00007,2,['AH']
EJ10,004,00007,14,"['HER', 'ORGANS', 'WERE', 'TRANS-', 'PLANTED', 'INTO', 'ME']"
EJ02,001,00009,0,"['And', 'just', 'when', 'I', 'was', 'about', 'to', 'call', 'him', 'on', 'his', 'foul--']"
EJ02,008,00008,8,"['|', 'THINK', ""I'VE"", 'SEEN', 'HIM', 'BE-', 'FORE']"
EJ03,002,00011,16,[]
EJ03,004,00005,12,"['J\\MY}\\\\\\', '}\\|', 'GURES', 'OR', 'MY']"
EJ10,008,00008,7,"['WONDER', 'WHY', 'L', 'NEVER', 'NOTICED', 'YOU']"
EJ05,004,00012,5,"['SESBION', 'IS', 'ADJOURNED']"
EJ03,006,00001,2,[]
EJ06,004,00008,22,"['NO', 'NO', 'IT', ""/SN'T""]"
EJ01,001,00001,5,"['FIFTY-', 'SOME', 'YEARS', 'LATER']"
EJ03,008,00006,3,"['WAIT', 'I', 'DON\xe2\x80\x99T', 'UNDER-', 'STAND']"
EJ05,007,00003,3,[]
EJ06,003,00005,12,"['WRAPS', 'AROUND', 'THINGS', 'THAT', 'MOVE', 'BUT', 'IT', ""CAN'T"", 'DIGEST', 'THEM']"
EJ01,002,00004,12,"[""YOU'RE"", 'UNBELIEV-', 'ABLE']"
EJ05,003,00002,9,['RIP']
EJ05,001,00010,10,['Defends']
EJ06,006,00011,28,"['IF', ""IT'S"", 'TOO', 'HIGH', 'THEY', 'BURN', 'IN', 'SECONDS']"
EJ01,004,00006,26,"[""\\7HAT'S\xe2\x84\xa2"", 'leanrs', 'TE', 'THIS', 'Vs', 'THE', '\\ZING', '8']"
EJ05,008,00005,19,"['SWEAR', 'I', 'JUST', 'WENT', 'TO', 'THE', 'BATH-', 'ROOM', 'IL', 'HAD']"
EJ06,002,00002,9,"['\xc2\xabORIF', 'THEY', 'WERE', 'SUMMONED', 'FROM', 'A', '\xc2\xa2', 'DEMON', 'Xi', 'WORLD']"
EJ02,005,00002,7,['en']
EJ05,009,00008,14,['SEE']
EJ03,001,00006,7,"['MUST', 'Go']"
EJ06,008,00005,13,['CATCH']
EJ01,008,00008,10,"[""HE'S"", 'ONLY', 'KNOWN', 'US', 'FOR', 'A', 'FEW', 'HOURS']"
EJ06,005,00010,23,"['GO', 'ON', 'CHIL-', 'CHUCK', 'You', 'TOO', '']"
EJ07,008,00008,7,[]
EJ05,006,00002,0,"['Woo', 'woo']"
EJ04,009,00005,10,[]
EJ07,005,00003,3,"['YES', 'TI', 'FEEL', 'NOTHING', 'ITS', 'NO', 'CHALLENGE', 'ATALL']"
EJ08,001,00009,16,"['ALTHOUGH', 'YOU', 'DO', 'SEEM', 'TO', 'KNOW', 'HOW', 'TO', 'CALCULATE', 'POINTS', '-']"
